State,FirstSlope,SecondSlope,ThirdSlope,FourthSlope
AK,2.0,16,-12,-6
AL,-106.0,-58,12,15
AR,-55.0,-83,72,-69
AZ,-198.0,-100,15,-33
CA,-578.0,-326,-145,-88
CO,-4.0,-37,15,-1
CT,-37.0,-17,37,-40
DC,-6.0,-3,3,0
DE,-8.0,-16,19,-17
FL,-245.0,-163,-30,-60
GA,-131.0,-72,15,-108
HI,-3.0,-2,2,-2
IA,-21.0,-24,2,-22
ID,-8.0,-4,4,-10
IL,-81.0,-80,6,-17
IN,-59.0,-59,-10,-6
KS,-21.0,6,-46,-10
KY,-64.0,-48,-16,-25
LA,-92.0,-85,34,-43
MA,-74.0,-61,-14,-33
MD,-50.0,-40,8,-11
ME,-12.0,-6,5,-1
MI,-51.0,-15,40,31
MN,-14.0,0,4,-6
MO,-61.0,-16,-26,-5
MS,-52.0,-64,39,-32
MT,-8.0,-4,-4,-5
NC,-155.0,-102,-92,-102
ND,-6.0,9,-5,1
NE,-6.0,-34,4,2
NH,-9.0,0,-7,-20
NJ,-80.0,-66,33,-7
NM,-22.0,-17,-1,-11
NV,-36.0,-38,4,-7
NY,-173.0,-188,30,30
OH,-131.0,-113,-19,-55
OK,-63.0,-89,-3,-10
OR,-16.0,3,-15,-15
PA,-145.0,-163,22,-54
RI,-21.0,-12,-12,5
SC,-44.0,-85,-94,-82
SD,1.0,-5,7,-6
TN,-40.0,-133,56,-36
TX,-792.0,-1107,616,-222
UT,-31.0,-27,-24,-29
VA,-74.0,-157,-51,-51
VT,-2.0,0,-1,6
WA,-39.0,13,-13,-27
WI,-49.0,-27,-1,-18
WV,-31.0,-18,3,-3
WY,-6.0,5,-1,-6
